date,Doy,Daily_RMSE,GPT2w_ZTD,GAMIT_ZTD,Int,Rand
2/11/2009,306,0.16891,-1.671139614,0.411878998,0.345004157,0.650788023
3/11/2009,307,0.19556,-1.631434949,0.418651311,0.345004157,0.412306495
4/11/2009,308,0.19142,-1.590069194,0.446278542,0.345004157,0.688613051
5/11/2009,309,0.1904,-1.54707018,0.383869546,0.345004157,0.03172407
6/11/2009,310,0.18975,-1.502467597,0.437124225,0.345004157,0.526168284
7/11/2009,311,0.18603,-1.456292965,0.480608232,0.345004157,0.952033715
8/11/2009,312,0.19048,-1.408579604,0.413492313,0.345004157,0.188661168
9/11/2009,313,0.1919,-1.359362602,0.488585689,0.345004157,0.876177922
10/11/2009,314,0.19355,-1.308678776,0.430347487,0.345004157,0.22661208
11/11/2009,315,0.17121,-1.256566639,0.433416265,0.345004157,0.428587718
12/11/2009,316,0.18841,-1.203066356,0.465665232,0.345004157,0.525577106
13/11/2009,317,0.18839,-1.14821971,0.42729775,0.345004157,0.087255642
14/11/2009,318,0.19337,-1.092070051,0.478647769,0.345004157,0.494806176
15/11/2009,319,0.19191,-1.034662256,0.442927486,0.345004157,0.094795545
16/11/2009,320,0.18902,-0.97604268,0.461094681,0.345004157,0.246747918
17/11/2009,321,0.18903,-0.91625911,0.504540754,0.345004157,0.621325083
18/11/2009,322,0.19151,-0.855360712,0.474646044,0.345004157,0.236679585
19/11/2009,323,0.19199,-0.793397981,0.51027291,0.345004157,0.526185518
20/11/2009,324,0.18707,-0.730422687,0.536163765,0.345004157,0.771318768
21/11/2009,325,0.15447,-0.66648782,0.457078846,0.345004157,0.242534709
22/11/2009,326,0.19454,-0.601647534,0.510228415,0.345004157,0.308490117
23/11/2009,327,0.195,-0.53595709,0.546089187,0.345004157,0.596807397
24/11/2009,328,0.1938,-0.469472794,0.53329689,0.345004157,0.414400126
25/11/2009,329,0.19329,-0.40225194,0.5611837,0.345004157,0.631147371
26/11/2009,330,0.19272,-0.334352749,0.558202353,0.345004157,0.539134709
27/11/2009,331,0.19403,-0.265834302,0.592406172,0.345004157,0.79955445
28/11/2009,332,0.19538,-0.19675648,0.550355075,0.345004157,0.296465667
29/11/2009,333,0.19673,-0.127179898,0.627430531,0.345004157,0.984143643
30/11/2009,334,0.19347,-0.057165842,0.622862195,0.345004157,0.901046225
1/12/2009,335,0.16777,0.013223801,0.58836584,0.345004157,0.742693035
2/12/2009,336,0.19366,0.083926609,0.628145213,0.345004157,0.810883958
3/12/2009,337,0.19936,0.15487969,0.658678991,0.345004157,0.988268656
4/12/2009,338,0.19312,0.226019755,0.634864942,0.345004157,0.741388094
5/12/2009,339,0.19561,0.29728318,0.589841812,0.345004157,0.194993371
6/12/2009,340,0.19457,0.368606084,0.644296968,0.345004157,0.678622026
7/12/2009,341,0.195,0.43992439,0.597110332,0.345004157,0.131137364
8/12/2009,342,0.19475,0.511173902,0.655936846,0.345004157,0.650652993
9/12/2009,343,0.19329,0.58229037,0.598196144,0.345004157,0.016729507
10/12/2009,344,0.19388,0.653209561,0.673253494,0.345004157,0.69048381
11/12/2009,345,0.16802,0.723867331,0.60222226,0.345004157,0.168113703
12/12/2009,346,0.19388,0.794199694,0.652326379,0.345004157,0.340222527
13/12/2009,347,0.19479,0.864142892,0.678659877,0.345004157,0.524514305
14/12/2009,348,0.19683,0.933633465,0.694843303,0.345004157,0.596457993
15/12/2009,349,0.19316,1.002608318,0.719011268,0.345004157,0.80586279
16/12/2009,350,0.19387,1.071004794,0.720556257,0.345004157,0.745816206
17/12/2009,351,0.19494,1.13876074,0.749426588,0.345004157,0.956063571
18/12/2009,352,0.19406,1.205814576,0.73244374,0.345004157,0.727981254
19/12/2009,353,0.19213,1.27210536,0.730551233,0.345004157,0.662065405
20/12/2009,354,0.18839,1.33757286,0.723491208,0.345004157,0.563397654
21/12/2009,355,0.16596,1.402157613,0.685748135,0.345004157,0.34568217
22/12/2009,356,0.19777,1.465800995,0.774488636,0.345004157,0.851343797
23/12/2009,357,0.1967,1.528445284,0.764273921,0.345004157,0.69725236
24/12/2009,358,0.19263,1.590033723,0.762206772,0.345004157,0.655692431
25/12/2009,359,0.1927,1.650510581,0.743666224,0.345004157,0.409110089
26/12/2009,360,0.19329,1.709821215,0.712186455,0.345004157,0.029101771
27/12/2009,361,0.19027,1.76791213,0.762659931,0.345004157,0.505945617
28/12/2009,362,0.19114,1.824731034,0.792971574,0.345004157,0.74354314
29/12/2009,363,0.18901,1.880226902,0.733853977,0.345004157,0.118171298
30/12/2009,364,0.19622,1.934350024,0.81726905,0.345004157,0.826098907
31/12/2009,365,0.19083,1.987052064,0.810525131,0.345004157,0.759857681
1/01/2010,1,0.16675,2.05085989,0.787604957,0.345004157,0.707648114
2/01/2010,2,0.18891,2.100195228,0.812984914,0.345004157,0.690512348
3/01/2010,3,0.19658,2.147962492,0.763965002,0.345004157,0.075845963
4/01/2010,4,0.19249,2.194119747,0.784967574,0.345004157,0.280614422
5/01/2010,5,0.1912,2.238626684,0.829888821,0.345004157,0.698219963
6/01/2010,6,0.17703,2.281444669,0.797115921,0.345004157,0.469372977
7/01/2010,7,0.19177,2.322536783,0.781235264,0.345004157,0.122074287
8/01/2010,8,0.19251,2.36186786,0.85461844,0.345004157,0.809174977
9/01/2010,9,0.19578,2.399404527,0.853564548,0.345004157,0.728399389
10/01/2010,10,0.18724,2.43511524,0.82311779,0.345004157,0.473621095
